PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"11391697","Methods for testing equality of means of health care costs in a paired design study","Zhou XH, Li C, Gao S, Tierney WM.","Stat Med. 2001 Jun 15;20(11):1703-20. doi: 10.1002/sim.780.","Zhou XH","Stat Med","2001","2001/06/08","","","10.1002/sim.780"
"12111903","Using inverse weighting and predictive inference to estimate the effects of time-varying treatments on the discrete-time hazard","Dawson R, Lavori PW.","Stat Med. 2002 Jun 30;21(12):1641-61; discussion 1663-87. doi: 10.1002/sim.1111.","Dawson R","Stat Med","2002","2002/07/12","","","10.1002/sim.1111"
"17219754","A note on sample size calculation based on propensity analysis in nonrandomized trials","Jung SH, Chow SC, Chi EM.","J Biopharm Stat. 2007;17(1):35-41; discussion 43. doi: 10.1080/10543400601044790.","Jung SH","J Biopharm Stat","2007","2007/01/16","","","10.1080/10543400601044790"
"19012316","Bias in a binary risk behaviour model subject to inconsistent reports and dropout in a South African high school cohort study","Chikobvu P, Lombard CJ, Flisher AJ, King G, Townsend L, Muller M.","Stat Med. 2009 Feb 1;28(3):494-509. doi: 10.1002/sim.3482.","Chikobvu P","Stat Med","2009","2008/11/18","","","10.1002/sim.3482"
"19053998","Extensions of the penalized spline of propensity prediction method of imputation","Zhang G, Little R.","Biometrics. 2009 Sep;65(3):911-8. doi: 10.1111/j.1541-0420.2008.01155.x. Epub 2008 Nov 13.","Zhang G","Biometrics","2009","2008/12/05","","","10.1111/j.1541-0420.2008.01155.x"
"19432773","Adjustment for missingness using auxiliary information in semiparametric regression","Zeng D, Chen Q.","Biometrics. 2010 Mar;66(1):115-22. doi: 10.1111/j.1541-0420.2009.01231.x. Epub 2009 May 7.","Zeng D","Biometrics","2010","2009/05/13","PMC3148802","NIHMS306451","10.1111/j.1541-0420.2009.01231.x"
"19795365","An application of propensity score methods to estimate the treatment effect of corticosteroids in patients with severe cutaneous adverse reactions","Sekula P, Caputo A, Dunant A, Roujeau JC, Mockenhaupt M, Sidoroff A, Schumacher M.","Pharmacoepidemiol Drug Saf. 2010 Jan;19(1):10-8. doi: 10.1002/pds.1863.","Sekula P","Pharmacoepidemiol Drug Saf","2010","2009/10/02","","","10.1002/pds.1863"
"19912596","Use of stabilized inverse propensity scores as weights to directly estimate relative risk and its confidence intervals","Xu S, Ross C, Raebel MA, Shetterly S, Blanchette C, Smith D.","Value Health. 2010 Mar-Apr;13(2):273-7. doi: 10.1111/j.1524-4733.2009.00671.x. Epub 2009 Nov 12.","Xu S","Value Health","2010","2009/11/17","PMC4351790","NIHMS475004","10.1111/j.1524-4733.2009.00671.x"
"21170907","Confounder-adjusted estimates of the risk difference using propensity score-based weighting","Ukoumunne OC, Williamson E, Forbes AB, Gulliford MC, Carlin JB.","Stat Med. 2010 Dec 30;29(30):3126-36. doi: 10.1002/sim.3935.","Ukoumunne OC","Stat Med","2010","2010/12/21","","","10.1002/sim.3935"
"21805529","Measuring balance and model selection in propensity score methods","Belitser SV, Martens EP, Pestman WR, Groenwold RH, de Boer A, Klungel OH.","Pharmacoepidemiol Drug Saf. 2011 Nov;20(11):1115-29. doi: 10.1002/pds.2188. Epub 2011 Jul 29.","Belitser SV","Pharmacoepidemiol Drug Saf","2011","2011/08/02","","","10.1002/pds.2188"
"22139832","Estimating the agreement and diagnostic accuracy of two diagnostic tests when one test is conducted on only a subsample of specimens","Katki HA, Li Y, Edelstein DW, Castle PE.","Stat Med. 2012 Feb 28;31(5):436-48. doi: 10.1002/sim.4422. Epub 2011 Dec 4.","Katki HA","Stat Med","2012","2011/12/06","PMC3809897","NIHMS519364","10.1002/sim.4422"
"22359267","Model misspecification and robustness in causal inference: comparing matching with doubly robust estimation","Waernbaum I.","Stat Med. 2012 Jul 10;31(15):1572-81. doi: 10.1002/sim.4496. Epub 2012 Feb 23.","Waernbaum I","Stat Med","2012","2012/02/24","","","10.1002/sim.4496"
"22646911","Evaluation of the propensity score methods for estimating marginal odds ratios in case of small sample size","Pirracchio R, Resche-Rigon M, Chevret S.","BMC Med Res Methodol. 2012 May 30;12:70. doi: 10.1186/1471-2288-12-70.","Pirracchio R","BMC Med Res Methodol","2012","2012/06/01","PMC3511219","","10.1186/1471-2288-12-70"
"22944721","Evaluating treatment effectiveness in patient subgroups: a comparison of propensity score methods with an automated matching approach","Radice R, Ramsahai R, Grieve R, Kreif N, Sadique Z, Sekhon JS.","Int J Biostat. 2012 Aug 7;8(1):25. doi: 10.1515/1557-4679.1382.","Radice R","Int J Biostat","2012","2012/09/05","","","10.1515/1557-4679.1382"
"22956891","Bias and variance trade-offs when combining propensity score weighting and regression: with an application to HIV status and homeless men","Golinelli D, Ridgeway G, Rhoades H, Tucker J, Wenzel S.","Health Serv Outcomes Res Methodol. 2012 Jun;12(2-3):104-118. doi: 10.1007/s10742-012-0090-1.","Golinelli D","Health Serv Outcomes Res Methodol","2012","2012/09/08","PMC3433039","NIHMS382984","10.1007/s10742-012-0090-1"
"23800533","Within-center matching performed better when using propensity score matching to analyze multicenter survival data: empirical and Monte Carlo studies","Gayat E, Thabut G, Christie JD, Mebazaa A, Mary JY, Porcher R.","J Clin Epidemiol. 2013 Sep;66(9):1029-37. doi: 10.1016/j.jclinepi.2013.03.018. Epub 2013 Jun 22.","Gayat E","J Clin Epidemiol","2013","2013/06/27","","","10.1016/j.jclinepi.2013.03.018"
"23857890","Genome-wide association analysis accounting for environmental factors through propensity-score matching: application to stressful live events in major depressive disorder","Power RA, Cohen-Woods S, Ng MY, Butler AW, Craddock N, Korszun A, Jones L, Jones I, Gill M, Rice JP, Maier W, Zobel A, Mors O, Placentino A, Rietschel M, Aitchison KJ, Tozzi F, Muglia P, Breen G, Farmer AE, McGuffin P, Lewis CM, Uher R.","Am J Med Genet B Neuropsychiatr Genet. 2013 Sep;162B(6):521-9. doi: 10.1002/ajmg.b.32180. Epub 2013 Jul 15.","Power RA","Am J Med Genet B Neuropsychiatr Genet","2013","2013/07/17","","","10.1002/ajmg.b.32180"
"23910956","Using balance statistics to determine the optimal number of controls in matching studies","Linden A, Samuels SJ.","J Eval Clin Pract. 2013 Oct;19(5):968-75. doi: 10.1111/jep.12072. Epub 2013 Aug 3.","Linden A","J Eval Clin Pract","2013","2013/08/06","","","10.1111/jep.12072"
"24403869","Generalized Redistribute-to-the-Right Algorithm: Application to the Analysis of Censored Cost Data","Chen S, Zhao H.","J Stat Theory Pract. 2013 Apr 1;7(2):10.1080/15598608.2013.771556. doi: 10.1080/15598608.2013.771556.","Chen S","J Stat Theory Pract","2013","2014/01/10","PMC3882135","NIHMS534713","10.1080/15598608.2013.771556"
"24478163","Propensity score balance measures in pharmacoepidemiology: a simulation study","Ali MS, Groenwold RH, Pestman WR, Belitser SV, Roes KC, Hoes AW, de Boer A, Klungel OH.","Pharmacoepidemiol Drug Saf. 2014 Aug;23(8):802-11. doi: 10.1002/pds.3574. Epub 2014 Jan 29.","Ali MS","Pharmacoepidemiol Drug Saf","2014","2014/01/31","","","10.1002/pds.3574"
"24845211","An approach to addressing selection bias in survival analysis","Carlin CS, Solid CA.","Stat Med. 2014 Oct 15;33(23):4073-86. doi: 10.1002/sim.6211. Epub 2014 May 20.","Carlin CS","Stat Med","2014","2014/05/22","PMC4159434","NIHMS594535","10.1002/sim.6211"
"25148300","Exploring two cost-adjustment methods for selection bias in a small sample: using a fetal cardiology dataset","Mistry H.","Int J Technol Assess Health Care. 2014 Jul;30(3):325-32. doi: 10.1017/S026646231400021X. Epub 2014 Aug 22.","Mistry H","Int J Technol Assess Health Care","2014","2014/08/23","","","10.1017/S026646231400021X"
"25751514","Structural equation modeling versus marginal structural modeling for assessing mediation in the presence of posttreatment confounding","Moerkerke B, Loeys T, Vansteelandt S.","Psychol Methods. 2015 Jun;20(2):204-20. doi: 10.1037/a0036368. Epub 2015 Mar 9.","Moerkerke B","Psychol Methods","2015","2015/03/10","","","10.1037/a0036368"
"25803086","Double bias: estimation of causal effects from length-biased samples in the presence of confounding","Ertefaie A, Asgharian M, Stephens DA.","Int J Biostat. 2015 May;11(1):69-89. doi: 10.1515/ijb-2014-0037.","Ertefaie A","Int J Biostat","2015","2015/03/25","","","10.1515/ijb-2014-0037"
"26472109","Statistical power in parallel group point exposure studies with time-to-event outcomes: an empirical comparison of the performance of randomized controlled trials and the inverse probability of treatment weighting (IPTW) approach","Austin PC, Schuster T, Platt RW.","BMC Med Res Methodol. 2015 Oct 15;15:87. doi: 10.1186/s12874-015-0081-3.","Austin PC","BMC Med Res Methodol","2015","2015/10/17","PMC4608110","","10.1186/s12874-015-0081-3"
"26988930","Correcting for dependent censoring in routine outcome monitoring data by applying the inverse probability censoring weighted estimator","Willems S, Schat A, van Noorden MS, Fiocco M.","Stat Methods Med Res. 2018 Feb;27(2):323-335. doi: 10.1177/0962280216628900. Epub 2016 Mar 17.","Willems S","Stat Methods Med Res","2018","2016/03/19","","","10.1177/0962280216628900"
"26991040","Propensity score matching and subclassification in observational studies with multi-level treatments","Yang S, Imbens GW, Cui Z, Faries DE, Kadziola Z.","Biometrics. 2016 Dec;72(4):1055-1065. doi: 10.1111/biom.12505. Epub 2016 Mar 17.","Yang S","Biometrics","2016","2016/03/19","","","10.1111/biom.12505"
"27082778","The effect of statins on mortality in heart failure with preserved ejection fraction: a meta-analysis of propensity score analyses","Fukuta H, Goto T, Wakami K, Ohte N.","Int J Cardiol. 2016 Jul 1;214:301-6. doi: 10.1016/j.ijcard.2016.03.186. Epub 2016 Apr 4.","Fukuta H","Int J Cardiol","2016","2016/04/16","","","10.1016/j.ijcard.2016.03.186"
"27227724","Data-Adaptive Bias-Reduced Doubly Robust Estimation","Vermeulen K, Vansteelandt S.","Int J Biostat. 2016 May 1;12(1):253-82. doi: 10.1515/ijb-2015-0029.","Vermeulen K","Int J Biostat","2016","2016/05/27","","","10.1515/ijb-2015-0029"
"27669718","Healthcare Disparities in Hispanic Diabetes Care: A Propensity Score-Matched Study","Lai LL, Alfaifi A, Althemery A.","J Immigr Minor Health. 2017 Oct;19(5):1001-1008. doi: 10.1007/s10903-016-0505-0.","Lai LL","J Immigr Minor Health","2017","2016/09/28","","","10.1007/s10903-016-0505-0"
"27683519","Patient-controlled hospital admission for patients with severe mental disorders: study protocol for a nationwide prospective multicentre study","Thomsen CT, Benros ME, Hastrup LH, Andersen PK, Giacco D, Nordentoft M.","BMJ Open. 2016 Sep 28;6(9):e013088. doi: 10.1136/bmjopen-2016-013088.","Thomsen CT","BMJ Open","2016","2016/09/30","PMC5051461","","10.1136/bmjopen-2016-013088"
"27863360","The effect of beta-blockers on mortality in heart failure with preserved ejection fraction: A meta-analysis of observational cohort and randomized controlled studies","Fukuta H, Goto T, Wakami K, Ohte N.","Int J Cardiol. 2017 Feb 1;228:4-10. doi: 10.1016/j.ijcard.2016.11.239. Epub 2016 Nov 11.","Fukuta H","Int J Cardiol","2017","2016/11/19","","","10.1016/j.ijcard.2016.11.239"
"27893927","Model averaged double robust estimation","Cefalu M, Dominici F, Arvold N, Parmigiani G.","Biometrics. 2017 Jun;73(2):410-421. doi: 10.1111/biom.12622. Epub 2016 Nov 28.","Cefalu M","Biometrics","2017","2016/11/29","PMC5466877","NIHMS839303","10.1111/biom.12622"
"28276084","Estimating marginal causal effects in a secondary analysis of case-control data","Persson E, Waernbaum I, Lind T.","Stat Med. 2017 Jul 10;36(15):2404-2419. doi: 10.1002/sim.7277. Epub 2017 Mar 9.","Persson E","Stat Med","2017","2017/03/10","","","10.1002/sim.7277"
"28377861","Outpatient Anterior Cervical Discectomy and Fusion: An Analysis of Readmissions from the New Jersey State Ambulatory Services Database","McClelland S 3rd, Passias PG, Errico TJ, Bess RS, Protopsaltis TS.","Int J Spine Surg. 2017 Jan 10;11(1):3. doi: 10.14444/4003. eCollection 2017.","McClelland S 3rd","Int J Spine Surg","2017","2017/04/06","PMC5374989","","10.14444/4003"
"28424064","Effectiveness of triple therapy with direct-acting antivirals for hepatitis C genotype 1 infection: application of propensity score matching in a national HCV treatment registry","Gray E, Pasta DJ, Norris S, O'Leary A; Irish Hepatitis C Outcomes and Research Network (ICORN).","BMC Health Serv Res. 2017 Apr 19;17(1):288. doi: 10.1186/s12913-017-2188-1.","Gray E","BMC Health Serv Res","2017","2017/04/21","PMC5395881","","10.1186/s12913-017-2188-1"
"28529839","Estimating Effects with Rare Outcomes and High Dimensional Covariates: Knowledge is Power","Balzer L, Ahern J, Galea S, van der Laan M.","Epidemiol Methods. 2016 Dec;5(1):1-18. doi: 10.1515/em-2014-0020. Epub 2016 May 24.","Balzer L","Epidemiol Methods","2016","2017/05/23","PMC5436729","NIHMS814448","10.1515/em-2014-0020"
"28628713","Robotic versus laparoscopic distal pancreatectomy: A propensity score-matched study","Liu R, Liu Q, Zhao ZM, Tan XL, Gao YX, Zhao GD.","J Surg Oncol. 2017 Sep;116(4):461-469. doi: 10.1002/jso.24676. Epub 2017 Jun 19.","Liu R","J Surg Oncol","2017","2017/06/20","","","10.1002/jso.24676"
"28639751","Gefitinib or erlotinib in previously treated non-small-cell lung cancer patients: a cohort study in Taiwan","Chang CH, Lee CH, Ko JC, Chang LY, Lee MC, Wang JY, Yu CJ.","Cancer Med. 2017 Jul;6(7):1563-1572. doi: 10.1002/cam4.1121. Epub 2017 Jun 22.","Chang CH","Cancer Med","2017","2017/06/23","PMC5504326","","10.1002/cam4.1121"
"28702858","Effect of renin-angiotensin system inhibitors on mortality in heart failure with preserved ejection fraction: a meta-analysis of observational cohort and randomized controlled studies","Fukuta H, Goto T, Wakami K, Ohte N.","Heart Fail Rev. 2017 Nov;22(6):775-782. doi: 10.1007/s10741-017-9637-0.","Fukuta H","Heart Fail Rev","2017","2017/07/14","","","10.1007/s10741-017-9637-0"
"28763505","Impact of a district-wide health center strengthening intervention on healthcare utilization in rural Rwanda: Use of interrupted time series analysis","Iyer HS, Hirschhorn LR, Nisingizwe MP, Kamanzi E, Drobac PC, Rwabukwisi FC, Law MR, Muhire A, Rusanganwa V, Basinga P.","PLoS One. 2017 Aug 1;12(8):e0182418. doi: 10.1371/journal.pone.0182418. eCollection 2017.","Iyer HS","PLoS One","2017","2017/08/02","PMC5538651","","10.1371/journal.pone.0182418"
"28791726","Subgroup detection and sample size calculation with proportional hazards regression for survival data","Kang S, Lu W, Song R.","Stat Med. 2017 Dec 20;36(29):4646-4659. doi: 10.1002/sim.7441. Epub 2017 Aug 8.","Kang S","Stat Med","2017","2017/08/10","PMC5698151","NIHMS898658","10.1002/sim.7441"
"28861028","Developing and Applying the Propensity Score to Make Causal Inferences: Variable Selection and Stratification","Adelson JL, McCoach DB, Rogers HJ, Adelson JA, Sauer TM.","Front Psychol. 2017 Aug 17;8:1413. doi: 10.3389/fpsyg.2017.01413. eCollection 2017.","Adelson JL","Front Psychol","2017","2017/09/02","PMC5562725","","10.3389/fpsyg.2017.01413"
"28944068","Comparison of outcomes between symptomatic and asymptomatic patients with colorectal cancer: a propensity score-matched analysis of surgical invasiveness, medical costs and oncological outcomes","Inada R, Nagasaka T, Watanabe A, Yagi T, Mori Y, Kondo Y, Kishimoto H, Umeda Y, Fujiwara T.","BMJ Open Gastroenterol. 2017 Jul 3;4(1):e000146. doi: 10.1136/bmjgast-2017-000146. eCollection 2017.","Inada R","BMJ Open Gastroenterol","2017","2017/09/26","PMC5609081","","10.1136/bmjgast-2017-000146"
"29082530","Weighted estimation for confounded binary outcomes subject to misclassification","Gravel CA, Platt RW.","Stat Med. 2018 Feb 10;37(3):425-436. doi: 10.1002/sim.7522. Epub 2017 Oct 30.","Gravel CA","Stat Med","2018","2017/10/31","","","10.1002/sim.7522"
"29340829","Trends and surgical outcomes of laparoscopic versus open pyloromyotomy","Kethman WC, Harris AHS, Hawn MT, Wall JK.","Surg Endosc. 2018 Jul;32(7):3380-3385. doi: 10.1007/s00464-018-6060-0. Epub 2018 Jan 16.","Kethman WC","Surg Endosc","2018","2018/01/18","PMC6383511","NIHMS991823","10.1007/s00464-018-6060-0"
"29355073","Estimating causal log-odds ratio using the case-control sample and its application in the pharmaco-epidemiology study","Zhu A, Zeng D, Zhang P, Li L.","Stat Methods Med Res. 2019 Jul;28(7):2165-2178. doi: 10.1177/0962280217750175. Epub 2018 Jan 22.","Zhu A","Stat Methods Med Res","2019","2018/01/23","PMC6416084","NIHMS1011479","10.1177/0962280217750175"
"29488249","Hypothesis tests for stratified mark-specific proportional hazards models with missing covariates, with application to HIV vaccine efficacy trials","Sun Y, Qi L, Yang G, Gilbert PB.","Biom J. 2018 May;60(3):516-536. doi: 10.1002/bimj.201700002. Epub 2018 Feb 28.","Sun Y","Biom J","2018","2018/03/01","PMC6447062","NIHMS1521439","10.1002/bimj.201700002"
"29855060","On the propensity score weighting analysis with survival outcome: Estimands, estimation, and inference","Mao H, Li L, Yang W, Shen Y.","Stat Med. 2018 Nov 20;37(26):3745-3763. doi: 10.1002/sim.7839. Epub 2018 May 31.","Mao H","Stat Med","2018","2018/06/02","","","10.1002/sim.7839"
"29912281","Evaluating longitudinal markers under two-phase study designs","Maziarz M, Cai T, Qi L, Lok AS, Zheng Y.","Biostatistics. 2019 Jul 1;20(3):485-498. doi: 10.1093/biostatistics/kxy013.","Maziarz M","Biostatistics","2019","2018/06/19","PMC6587940","","10.1093/biostatistics/kxy013"
"29939268","Evaluating large-scale propensity score performance through real-world and synthetic data experiments","Tian Y, Schuemie MJ, Suchard MA.","Int J Epidemiol. 2018 Dec 1;47(6):2005-2014. doi: 10.1093/ije/dyy120.","Tian Y","Int J Epidemiol","2018","2018/06/26","PMC6280944","","10.1093/ije/dyy120"
"29950913","Comparison of statistical approaches for analyzing incomplete longitudinal patient-reported outcome data in randomized controlled trials","Rombach I, Jenkinson C, Gray AM, Murray DW, Rivero-Arias O.","Patient Relat Outcome Meas. 2018 Jun 21;9:197-209. doi: 10.2147/PROM.S147790. eCollection 2018.","Rombach I","Patient Relat Outcome Meas","2018","2018/06/29","PMC6016604","","10.2147/PROM.S147790"
"29991330","On adaptive propensity score truncation in causal inference","Ju C, Schwab J, van der Laan MJ.","Stat Methods Med Res. 2019 Jun;28(6):1741-1760. doi: 10.1177/0962280218774817. Epub 2018 Jul 11.","Ju C","Stat Methods Med Res","2019","2018/07/12","","","10.1177/0962280218774817"
"30083056","Investigating Risk Adjustment Methods for Health Care Provider Profiling When Observations are Scarce or Events Rare","Brakenhoff TB, Moons KG, Kluin J, Groenwold RH.","Health Serv Insights. 2018 Jul 5;11:1178632918785133. doi: 10.1177/1178632918785133. eCollection 2018.","Brakenhoff TB","Health Serv Insights","2018","2018/08/08","PMC6069022","","10.1177/1178632918785133"
"30109713","Efficiency and robustness of causal effect estimators when noncompliance is measured with error","Boatman JA, Vock DM, Koopmeiners JS.","Stat Med. 2018 Dec 10;37(28):4126-4141. doi: 10.1002/sim.7922. Epub 2018 Aug 14.","Boatman JA","Stat Med","2018","2018/08/16","PMC6647029","NIHMS1036110","10.1002/sim.7922"
"30135619","ON ESTIMATION OF THE OPTIMAL TREATMENT REGIME WITH THE ADDITIVE HAZARDS MODEL","Kang S, Lu W, Zhang J.","Stat Sin. 2018 Jul;28(3):1539-1560. doi: 10.5705/ss.202016.0543.","Kang S","Stat Sin","2018","2018/08/24","PMC6101677","NIHMS919530","10.5705/ss.202016.0543"
"30537087","Propensity-score-based priors for Bayesian augmented control design","Lin J, Gamalo-Siebers M, Tiwari R.","Pharm Stat. 2019 Mar;18(2):223-238. doi: 10.1002/pst.1918. Epub 2018 Dec 9.","Lin J","Pharm Stat","2019","2018/12/12","","","10.1002/pst.1918"
"30555194","Nonparametric Maximum Likelihood Estimators of Time-Dependent Accuracy Measures for Survival Outcome Under Two-Stage Sampling Designs","Liu D, Cai T, Lok A, Zheng Y.","J Am Stat Assoc. 2018;113(522):882-892. doi: 10.1080/01621459.2017.1295866. Epub 2017 Feb 28.","Liu D","J Am Stat Assoc","2018","2018/12/18","PMC6291304","NIHMS904698","10.1080/01621459.2017.1295866"
"30623308","Association between perioperative oral care and postoperative pneumonia after cancer resection: conventional versus high-dimensional propensity score matching analysis","Ishimaru M, Ono S, Matsui H, Yasunaga H.","Clin Oral Investig. 2019 Sep;23(9):3581-3588. doi: 10.1007/s00784-018-2783-5. Epub 2019 Jan 8.","Ishimaru M","Clin Oral Investig","2019","2019/01/10","","","10.1007/s00784-018-2783-5"
"30784132","Propensity score methods and regression adjustment for analysis of nonrandomized studies with health-related quality of life outcomes","Cottone F, Anota A, Bonnetain F, Collins GS, Efficace F.","Pharmacoepidemiol Drug Saf. 2019 May;28(5):690-699. doi: 10.1002/pds.4756. Epub 2019 Feb 19.","Cottone F","Pharmacoepidemiol Drug Saf","2019","2019/02/21","","","10.1002/pds.4756"
"30859603","Bayesian estimation of the average treatment effect on the treated using inverse weighting","Capistrano ESM, Moodie EEM, Schmidt AM.","Stat Med. 2019 Jun 15;38(13):2447-2466. doi: 10.1002/sim.8121. Epub 2019 Mar 11.","Capistrano ESM","Stat Med","2019","2019/03/13","","","10.1002/sim.8121"
"31046501","Healthcare utilization and costs among relapsed or refractory multiple myeloma patients on carfilzomib or pomalidomide as monotherapy or in combination with dexamethasone","Hagiwara M, Panjabi S, Sharma A, Delea TE.","J Med Econ. 2019 Aug;22(8):818-829. doi: 10.1080/13696998.2019.1614932. Epub 2019 May 17.","Hagiwara M","J Med Econ","2019","2019/05/04","","","10.1080/13696998.2019.1614932"
